Batter,PlateZone,hitter_count,weighted_re_sum,swing_percentage,count
"Allen, J.C.",Chase,2k,0.29723027447907846,0.46153846153846156,26
"Allen, J.C.",Chase,<2k,3.2504118870980188,0.21348314606741572,89
"Allen, J.C.",Heart,2k,-0.4279600337177667,0.7916666666666666,24
"Allen, J.C.",Heart,<2k,-4.815492459999454,0.6292134831460674,89
"Allen, J.C.",Shadow,2k,-0.8138377489218,0.8604651162790697,43
"Allen, J.C.",Shadow,<2k,-4.951279966292087,0.39316239316239315,117
"Allen, J.C.",Waste,2k,1.2486810474013637,0.2,25
"Allen, J.C.",Waste,<2k,3.3080273224635857,0.046511627906976744,43
"Ambriz, Andy",Chase,2k,-0.10626120536181799,1.0,1
"Ambriz, Andy",Heart,<2k,-0.10566264772455841,0.0,1
"Ambriz, Andy",Shadow,<2k,-0.20850250803044446,1.0,3
"Ambriz, Andy",Waste,2k,0.10799717246484088,0.0,1
"Camacho, Gabe",Chase,2k,0.9468986300436211,0.3333333333333333,24
"Camacho, Gabe",Chase,<2k,3.1022493345033486,0.21839080459770116,87
"Camacho, Gabe",Heart,2k,-0.04985176041124685,0.8333333333333334,12
"Camacho, Gabe",Heart,<2k,-3.4504351594296323,0.6515151515151515,66
"Camacho, Gabe",Shadow,2k,-0.9032480936705516,0.7317073170731707,41
"Camacho, Gabe",Shadow,<2k,-5.941182445715462,0.34459459459459457,148
"Camacho, Gabe",Waste,2k,0.4927008401474775,0.2777777777777778,18
"Camacho, Gabe",Waste,<2k,2.6581107961204875,0.0,31
"Crossland, Michael",Chase,2k,0.34563476805361704,0.47619047619047616,42
"Crossland, Michael",Chase,<2k,4.0374901200273605,0.14457831325301204,83
"Crossland, Michael",Heart,2k,0.4051441886232275,0.9047619047619048,21
"Crossland, Michael",Heart,<2k,-5.719005393624443,0.5625,96
"Crossland, Michael",Shadow,2k,-1.0192050089260956,0.8,50
"Crossland, Michael",Shadow,<2k,-6.2531375060283905,0.3375796178343949,157
"Crossland, Michael",Waste,2k,2.0114328334683176,0.08333333333333333,24
"Crossland, Michael",Waste,<2k,3.7187310951874086,0.06,50
"Davidson, Garrett",Chase,2k,0.7982834928040818,0.18181818181818182,11
"Davidson, Garrett",Chase,<2k,0.2685496733963894,0.16666666666666666,6
"Davidson, Garrett",Heart,2k,0.25277552724137464,1.0,5
"Davidson, Garrett",Heart,<2k,-0.8949558137755522,0.6470588235294118,17
"Davidson, Garrett",Shadow,2k,-0.24503707056886134,0.375,8
"Davidson, Garrett",Shadow,<2k,-1.2431981965650205,0.2647058823529412,34
"Davidson, Garrett",Waste,2k,0.10799717246484088,0.0,1
"Davidson, Garrett",Waste,<2k,0.7717095859704641,0.0,9
"Gonzalez, Emiliano",Chase,2k,1.4842552185495284,0.19047619047619047,21
"Gonzalez, Emiliano",Chase,<2k,3.6392679321993384,0.08196721311475409,61
"Gonzalez, Emiliano",Heart,2k,0.45569929407150245,0.9090909090909091,22
"Gonzalez, Emiliano",Heart,<2k,-4.261250037345596,0.6052631578947368,76
"Gonzalez, Emiliano",Shadow,2k,-0.7927831273773983,0.7567567567567568,37
"Gonzalez, Emiliano",Shadow,<2k,-5.281723205351793,0.3283582089552239,134
"Gonzalez, Emiliano",Waste,2k,2.375937794226499,0.0,22
"Gonzalez, Emiliano",Waste,<2k,2.5363177364931215,0.058823529411764705,34
"Hackworth, Patrick",Chase,2k,0.9529491917404384,0.34615384615384615,26
"Hackworth, Patrick",Chase,<2k,2.5928850449551266,0.14814814814814814,54
"Hackworth, Patrick",Heart,2k,0.9605470035172237,1.0,19
"Hackworth, Patrick",Heart,<2k,-2.872467288827755,0.6153846153846154,52
"Hackworth, Patrick",Shadow,2k,-0.6060310563932667,0.64,25
"Hackworth, Patrick",Shadow,<2k,-3.921206322444205,0.4431818181818182,88
"Hackworth, Patrick",Waste,2k,0.7897220718044771,0.1,10
"Hackworth, Patrick",Waste,<2k,2.450572226940848,0.06060606060606061,33
"Lanier, Delshaun",Chase,2k,0.8164351778945338,0.29411764705882354,17
"Lanier, Delshaun",Chase,<2k,1.4538500941537527,0.045454545454545456,22
"Lanier, Delshaun",Heart,2k,-0.024925880205623425,0.8333333333333334,6
"Lanier, Delshaun",Heart,<2k,-1.1537320051207058,0.6190476190476191,21
"Lanier, Delshaun",Shadow,2k,-0.3454313132423944,0.75,16
"Lanier, Delshaun",Shadow,<2k,-1.8871938994031312,0.27450980392156865,51
"Lanier, Delshaun",Waste,2k,0.24973620948027273,0.2,5
"Lanier, Delshaun",Waste,<2k,1.4576736623886546,0.0,17
"Lazuka, Noah",Chase,2k,-0.7135756290486394,0.7058823529411765,17
"Lazuka, Noah",Chase,<2k,2.1947032316754993,0.17647058823529413,51
"Lazuka, Noah",Heart,2k,0.7583265817241239,1.0,15
"Lazuka, Noah",Heart,<2k,-2.8595026968122217,0.5625,48
"Lazuka, Noah",Shadow,2k,-0.7079515572858762,0.6666666666666666,30
"Lazuka, Noah",Shadow,<2k,-3.6432029784036124,0.4166666666666667,84
"Lazuka, Noah",Waste,2k,0.9989448379210909,0.2,20
"Lazuka, Noah",Waste,<2k,1.6788626409703837,0.08333333333333333,24
"Lee, Jayden",Chase,2k,0.006050561696817322,0.5,2
"Lee, Jayden",Chase,<2k,0.5370993467927788,0.16666666666666666,12
"Lee, Jayden",Heart,2k,0.10111021089654985,1.0,2
"Lee, Jayden",Heart,<2k,-0.506791526757822,0.7272727272727273,11
"Lee, Jayden",Shadow,2k,-0.12602763887516427,0.6,5
"Lee, Jayden",Shadow,<2k,-0.23783217961608624,0.3333333333333333,6
"Lee, Jayden",Waste,2k,0.21599434492968175,0.0,2
"Lee, Jayden",Waste,<2k,0.5144730573136428,0.0,6
"Leopard, Alex",Chase,2k,0.752527904410437,0.40625,32
"Leopard, Alex",Chase,<2k,3.3244527888469597,0.15492957746478872,71
"Leopard, Alex",Heart,2k,-0.9584369684061393,0.7,20
"Leopard, Alex",Heart,<2k,-4.552308796488204,0.5070422535211268,71
"Leopard, Alex",Shadow,2k,-1.132722491657402,0.6666666666666666,48
"Leopard, Alex",Shadow,<2k,-6.501811178483342,0.3670886075949367,158
"Leopard, Alex",Waste,2k,1.5794441436089541,0.1,20
"Leopard, Alex",Waste,<2k,3.7367548702249547,0.041666666666666664,48
"Lomanto, Colton",Chase,2k,-0.47685097153773404,0.6086956521739131,23
"Lomanto, Colton",Chase,<2k,2.657680927622548,0.06976744186046512,43
"Lomanto, Colton",Heart,2k,0.707771476275849,1.0,14
"Lomanto, Colton",Heart,<2k,-2.344154050204963,0.6808510638297872,47
"Lomanto, Colton",Shadow,2k,-0.6908626264847888,0.75,32
"Lomanto, Colton",Shadow,<2k,-3.3605775896763252,0.41025641025641024,78
"Lomanto, Colton",Waste,2k,0.897719244269318,0.09090909090909091,11
"Lomanto, Colton",Waste,<2k,2.48661977701594,0.0,29
"Maher, Thomas",Chase,2k,0.8224857395913511,0.3157894736842105,19
"Maher, Thomas",Chase,<2k,0.5741601722156436,0.2727272727272727,22
"Maher, Thomas",Heart,2k,0.27840475248402613,0.9166666666666666,12
"Maher, Thomas",Heart,<2k,-3.103110560058794,0.36585365853658536,41
"Maher, Thomas",Shadow,2k,-0.46291448671701496,0.7727272727272727,22
"Maher, Thomas",Shadow,<2k,-2.021573526736733,0.3333333333333333,51
"Maher, Thomas",Waste,2k,0.9719745521835679,0.0,9
"Maher, Thomas",Waste,<2k,1.1146916241795592,0.0,13
"Martinez, Trevian",Chase,2k,0.8224857395913511,0.3157894736842105,19
"Martinez, Trevian",Chase,<2k,3.2966369825056137,0.07407407407407407,54
"Martinez, Trevian",Heart,2k,-0.024925880205623432,0.8333333333333334,6
"Martinez, Trevian",Heart,<2k,-3.377055079502529,0.5535714285714286,56
"Martinez, Trevian",Shadow,2k,-0.5111287626821244,0.6818181818181818,22
"Martinez, Trevian",Shadow,<2k,-3.657069112463695,0.35555555555555557,90
"Martinez, Trevian",Waste,2k,1.619957586972613,0.0,15
"Martinez, Trevian",Waste,<2k,2.2971049828738463,0.034482758620689655,29
"Potestio, Anthony",Chase,2k,0.8224857395913511,0.3157894736842105,19
"Potestio, Anthony",Chase,<2k,2.8892101501444674,0.13793103448275862,58
"Potestio, Anthony",Heart,2k,0.7839558069667754,0.9545454545454546,22
"Potestio, Anthony",Heart,<2k,-4.6924577480932665,0.4714285714285714,70
"Potestio, Anthony",Shadow,2k,-1.1553033714208802,0.7058823529411765,51
"Potestio, Anthony",Shadow,<2k,-4.214503038300623,0.2457627118644068,118
"Potestio, Anthony",Waste,2k,2.119430005933159,0.08,25
"Potestio, Anthony",Waste,<2k,1.8864012101500234,0.0,22
"Thacker, Cooper",Chase,2k,0.8406374246818031,0.36,25
"Thacker, Cooper",Chase,<2k,3.36147323972143,0.11290322580645161,62
"Thacker, Cooper",Heart,2k,0.8850660178633253,0.9583333333333334,24
"Thacker, Cooper",Heart,<2k,-4.233117117231481,0.4426229508196721,61
"Thacker, Cooper",Shadow,2k,-0.8861591628694642,0.7906976744186046,43
"Thacker, Cooper",Shadow,<2k,-3.5612632460891236,0.26804123711340205,97
"Thacker, Cooper",Waste,2k,1.1137135891989998,0.07692307692307693,13
"Thacker, Cooper",Waste,<2k,2.039868454217025,0.038461538461538464,26
